MMSI,일시,위도,경도,SOG,COG,Heading,거리
NOqZW0lkww1HNis9FqiV+A==,2020-03-10 00:01:05,34.8854883333333,128.700178333333,0.0,360.0,511,39.79927334378295
JN2qBUBPgaa02OjaSeZE5Q==,2020-03-10 00:01:06,35.0995333333333,129.0612,0.0,155.0,511,1.7224678942649863
PEOuri54lD4VZSjb+6winw==,2020-03-10 00:01:08,34.96635,128.442666666667,0.0,10.0,42,58.12588769748437
eHDSwpfYjeS4X4bvUKGqQQ==,2020-03-10 00:01:08,35.4598933333333,129.37247,0.0,133.5,22,50.29716277869067
kDBnSuGX6kYxXd2T/S1C8Q==,2020-03-10 00:01:08,34.6612166666667,129.068815,0.1,332.3,124,46.91312396783675
PEOuri54lD4VZSjb+6winw==,2020-03-10 00:01:08,34.96635,128.442666666667,0.0,10.0,42,58.12145091496835
eHDSwpfYjeS4X4bvUKGqQQ==,2020-03-10 00:01:08,35.4598933333333,129.37247,0.0,133.5,22,50.300611537545855
kDBnSuGX6kYxXd2T/S1C8Q==,2020-03-10 00:01:08,34.6612166666667,129.068815,0.1,332.3,124,46.911875703093415
PEOuri54lD4VZSjb+6winw==,2020-03-10 00:01:08,34.96635,128.442666666667,0.0,10.0,42,58.11404526229035
eHDSwpfYjeS4X4bvUKGqQQ==,2020-03-10 00:01:08,35.4598933333333,129.37247,0.0,133.5,22,50.31329915851953
kDBnSuGX6kYxXd2T/S1C8Q==,2020-03-10 00:01:08,34.6612166666667,129.068815,0.1,332.3,124,46.89991072494711
lgUpmIdgb/uQhvCyW+QiZw==,2020-03-10 00:01:09,34.9899333333333,129.573333333333,13.6,234.0,234,47.70320001906949
KgjoMKzQtV7+C6LMemncyQ==,2020-03-10 00:01:09,35.0803733333333,129.003836666667,0.0,322.5,355,5.428938864845942
GIJ16soGSLqWaUHEyCTIaw==,2020-03-10 00:01:10,35.1124483333333,129.458198333333,5.7,219.9,222,36.14719099425599
re8aVtHSGuSR0ORXGufzkw==,2020-03-10 00:01:10,35.0803866666667,129.003856666667,0.4,0.0,511,5.433100572124784
uu30XIvAe9g4uvSQozBJNQ==,2020-03-10 00:01:10,34.9355166666667,129.1052,0.5,188.4,144,16.911436283826898
2Vxjjs+B8qh+zr5iU5a2YA==,2020-03-10 00:01:10,35.07752,128.808558333333,0.0,305.3,269,23.240402915359315
GIJ16soGSLqWaUHEyCTIaw==,2020-03-10 00:01:10,35.1124483333333,129.458198333333,5.7,219.9,222,36.147716866716614
re8aVtHSGuSR0ORXGufzkw==,2020-03-10 00:01:10,35.0803866666667,129.003856666667,0.4,0.0,511,5.432533449915796
uu30XIvAe9g4uvSQozBJNQ==,2020-03-10 00:01:10,34.9355166666667,129.1052,0.5,188.4,144,16.914129790588714
